test_name,client_name,target_opcode,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,update_runtime_ms,update_pvalue,update_conf_int_low,update_conf_int_high,param_opcode,param_account_mode
test_account_access,nethermind,CALL,,418,67.11693654765199,0.001,0.9864735529108586,0.9864083652140434,0.005270050302229911,0.001,0.005155877585321594,0.0053859173714615625,0.014609542081024256,0.001,0.006966508026685622,0.02180752798817906,CALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,CALL,,418,67.11693654765199,0.001,0.9864735529108586,0.9864083652140434,0.005270050302229911,0.001,0.005155877585321594,0.0053859173714615625,0.014609542081024256,0.001,0.006966508026685622,0.02180752798817906,CALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,CALL,,726,64.34850830623328,0.001,0.2757608948289255,0.2737574671521038,0.0005788212734826734,0.001,0.0004811920586851768,0.0006794330468646524,0.034133740042701505,0.001,0.027975021427474135,0.0401687495935837,CALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,CALL,,726,64.34850830623328,0.001,0.2757608948289255,0.2737574671521038,0.0005788212734826734,0.001,0.0004811920586851768,0.0006794330468646524,0.034133740042701505,0.001,0.027975021427474135,0.0401687495935837,CALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,CALLCODE,,550,96.99640692527834,0.001,0.9738578791149722,0.9737622954919922,0.03264016075601223,0.001,0.03224759651542997,0.03299686897120955,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,CALLCODE,,264,329.2619958377032,0.001,0.9576945422861802,0.9573703625335839,0.10349043278184891,0.001,0.10158189050742375,0.10583693436441897,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,CALLCODE,,418,240.80432698178493,0.001,0.9081654725473687,0.9077228965114523,0.03427165370244796,0.001,0.03311582139306539,0.03554326425370099,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,CALLCODE,,726,0.0,1.0,0.8923908429970051,0.8920931689803994,0.03722380348315249,0.001,0.0367937297219015,0.037698849824150546,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,CALLCODE,,550,272.97548443584776,0.001,0.9463310311318536,0.946134800898332,0.01403404855322396,0.001,0.01379453741869162,0.014300004204786844,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_EOA
test_account_access,erigon,CALLCODE,,264,0.0,1.0,0.9961952121667073,0.9961660567043832,0.010606376188631984,0.001,0.010560264119016205,0.010651843338771682,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_EOA
test_account_access,nethermind,CALLCODE,,418,70.55527061539419,0.001,0.9767304424819225,0.9766183000360523,0.005086334092974452,0.001,0.005003573384136942,0.005182828597332506,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_EOA
test_account_access,reth,CALLCODE,,726,8.966905626777054,0.001,0.9808083022827643,0.9807552132157733,0.0013933547733912086,0.001,0.0013812837633267977,0.0014066019746011718,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.EXISTING_EOA
test_account_access,besu,CALLCODE,,550,89.37932143151527,0.001,0.9322500044925909,0.9320022897009733,0.015295787998991072,0.001,0.015033427545230406,0.015609510048341123,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,CALLCODE,,550,89.37932143151527,0.001,0.9322500044925909,0.9320022897009733,0.015295787998991072,0.001,0.015033427545230406,0.015609510048341123,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,CALLCODE,,264,0.0,1.0,0.9432161140885769,0.9427809885260372,0.009390952705266848,0.001,0.00926714072222561,0.009490185837758215,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,CALLCODE,,264,0.0,1.0,0.9432161140885769,0.9427809885260372,0.009390952705266848,0.001,0.00926714072222561,0.009490185837758215,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,CALLCODE,,418,0.0,1.0,0.9590786456261108,0.9588814342797306,0.0059396966168106255,0.001,0.005870705193969954,0.006011487845969334,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,CALLCODE,,418,0.0,1.0,0.9590786456261108,0.9588814342797306,0.0059396966168106255,0.001,0.005870705193969954,0.006011487845969334,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,CALLCODE,,726,0.0,1.0,0.910802065764719,0.9105553218249257,0.0012815016868165715,0.001,0.0012685145559616629,0.001294112854577124,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,CALLCODE,,726,0.0,1.0,0.910802065764719,0.9105553218249257,0.0012815016868165715,0.001,0.0012685145559616629,0.001294112854577124,0.0,1.0,0.0,0.0,CALLCODE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,DELEGATECALL,,275,306.2134915731983,0.001,0.9614950940477854,0.9613540504362389,0.029388172992764087,0.001,0.02868485721085985,0.030124792186242238,,,,,DELEGATECALL,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,DELEGATECALL,,132,1526.9762742994178,0.001,0.8698133887287556,0.8688119532574383,0.08765059561968551,0.001,0.08145223116346505,0.09312031655411675,,,,,DELEGATECALL,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,DELEGATECALL,,209,892.8819212932652,0.001,0.7158590907942108,0.7144864293970814,0.025647872983493136,0.001,0.023346057119642657,0.027828488261912854,,,,,DELEGATECALL,AccountMode.EXISTING_CONTRACT
test_account_access,reth,DELEGATECALL,,363,0.0,1.0,0.9160111625120241,0.9157785064525006,0.03745315679169222,0.001,0.03707602258837127,0.03787461983324268,,,,,DELEGATECALL,AccountMode.EXISTING_CONTRACT
test_account_access,besu,DELEGATECALL,,275,611.8962530869363,0.001,0.8437192670081736,0.8431468101107676,0.009893652798189533,0.001,0.009371471374772884,0.010473926436163666,,,,,DELEGATECALL,AccountMode.EXISTING_EOA
test_account_access,erigon,DELEGATECALL,,132,47.44013451323104,0.001,0.9951970808141825,0.9951601352819839,0.010093005634146592,0.001,0.009984451586949088,0.010206253981529516,,,,,DELEGATECALL,AccountMode.EXISTING_EOA
test_account_access,nethermind,DELEGATECALL,,209,103.70878477061586,0.001,0.9503968294161357,0.9501572005727353,0.004681413776022181,0.001,0.004534456556234057,0.004822402452983457,,,,,DELEGATECALL,AccountMode.EXISTING_EOA
test_account_access,reth,DELEGATECALL,,363,32.26966098779773,0.001,0.973911647499912,0.9738393805954796,0.0011181510196392255,0.001,0.00109909836087458,0.0011388676888534524,,,,,DELEGATECALL,AccountMode.EXISTING_EOA
test_account_access,besu,DELEGATECALL,,275,526.5580663228282,0.001,0.9167452365263716,0.9164402740228053,0.010469733078612911,0.001,0.0101181309597576,0.01088192397544571,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,DELEGATECALL,,275,526.5580663228282,0.001,0.9167452365263716,0.9164402740228053,0.010469733078612911,0.001,0.0101181309597576,0.01088192397544571,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,DELEGATECALL,,132,20.08207693348444,0.001,0.9971351922843179,0.9971131553018896,0.009545664683662051,0.001,0.009458411212973418,0.009636647280828727,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,DELEGATECALL,,132,20.08207693348444,0.001,0.9971351922843179,0.9971131553018896,0.009545664683662051,0.001,0.009458411212973418,0.009636647280828727,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,DELEGATECALL,,209,116.26379353233635,0.001,0.9391734525033388,0.9388796044477994,0.004601357791049855,0.001,0.0044263498276929675,0.004767151542375204,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,DELEGATECALL,,209,116.26379353233635,0.001,0.9391734525033388,0.9388796044477994,0.004601357791049855,0.001,0.0044263498276929675,0.004767151542375204,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,DELEGATECALL,,363,31.521638402656347,0.001,0.9755574058087562,0.9754896977916059,0.0009589875966585002,0.001,0.0009427817127286427,0.0009738198288131561,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,DELEGATECALL,,363,31.521638402656347,0.001,0.9755574058087562,0.9754896977916059,0.0009589875966585002,0.001,0.0009427817127286427,0.0009738198288131561,,,,,DELEGATECALL,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,EXTCODECOPY,,275,414.12956647154215,0.001,0.8154098226978669,0.8147336682022547,0.0018480219664029623,0.001,0.0017254713965683087,0.001955237723496976,,,,,EXTCODECOPY,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,EXTCODECOPY,,132,49.888552285246426,0.001,0.8502508354351401,0.8490989187846412,0.0003157666014518542,0.001,0.0002890169937433677,0.0003414384253569797,,,,,EXTCODECOPY,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,EXTCODECOPY,,209,173.6001979583703,0.001,0.8894729314409212,0.8889389842498145,0.0013944779214548142,0.001,0.001326123801480387,0.0014603240288367679,,,,,EXTCODECOPY,AccountMode.EXISTING_CONTRACT
test_account_access,reth,EXTCODECOPY,,363,11.565788825959016,0.001,0.7547363339098041,0.7540569331727122,7.843351931248048e-05,0.001,7.356881141036676e-05,8.316527350193664e-05,,,,,EXTCODECOPY,AccountMode.EXISTING_CONTRACT
test_account_access,besu,EXTCODECOPY,,275,218.10086982416956,0.001,0.843976709144113,0.843405195258194,0.0004440234044523698,0.001,0.00042190624088704577,0.0004649655801176716,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,EXTCODECOPY,,275,218.10086982416956,0.001,0.843976709144113,0.843405195258194,0.0004440234044523698,0.001,0.00042190624088704577,0.0004649655801176716,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,EXTCODECOPY,,132,46.70762575589008,0.001,0.7880957433375652,0.7864657105940079,6.404114652223198e-05,0.001,5.871566140874067e-05,6.98409464210396e-05,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,EXTCODECOPY,,132,46.70762575589008,0.001,0.7880957433375652,0.7864657105940079,6.404114652223198e-05,0.001,5.871566140874067e-05,6.98409464210396e-05,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,EXTCODECOPY,,209,121.10261546109996,0.001,0.8644439549325202,0.8637890948114213,0.0003660166106122501,0.001,0.00034511441139501234,0.00038459466319192546,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,EXTCODECOPY,,209,121.10261546109996,0.001,0.8644439549325202,0.8637890948114213,0.0003660166106122501,0.001,0.00034511441139501234,0.00038459466319192546,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,EXTCODECOPY,,363,5.543593891990874,0.001,0.7083395222934465,0.7075315985324866,1.7106656781338125e-05,0.001,1.5852012021121318e-05,1.84674035076951e-05,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,EXTCODECOPY,,363,5.543593891990874,0.001,0.7083395222934465,0.7075315985324866,1.7106656781338125e-05,0.001,1.5852012021121318e-05,1.84674035076951e-05,,,,,EXTCODECOPY,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,EXTCODEHASH,,275,395.8859420620419,0.001,0.9464512309520844,0.9462550816149126,0.026183872743635303,0.001,0.025380363194515674,0.026906458120159595,,,,,EXTCODEHASH,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,EXTCODEHASH,,132,449.8205040659736,0.001,0.8989260280735837,0.898148535981842,0.036386579132350064,0.001,0.034374512579258554,0.03827098737636154,,,,,EXTCODEHASH,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,EXTCODEHASH,,209,855.349068467619,0.001,0.7045082051778262,0.7030807085844824,0.024627970916990944,0.001,0.022356717642112597,0.026835455091401055,,,,,EXTCODEHASH,AccountMode.EXISTING_CONTRACT
test_account_access,reth,EXTCODEHASH,,363,220.4378581298354,0.001,0.852353710499797,0.8519447180081067,0.035200189260042244,0.001,0.03371745771248235,0.0367276003174858,,,,,EXTCODEHASH,AccountMode.EXISTING_CONTRACT
test_account_access,besu,EXTCODEHASH,,275,429.17736211025175,0.001,0.9018562678529721,0.9014967670026167,0.009202744612100947,0.001,0.00880722875782278,0.009620495960778517,,,,,EXTCODEHASH,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,EXTCODEHASH,,275,429.17736211025175,0.001,0.9018562678529721,0.9014967670026167,0.009202744612100947,0.001,0.00880722875782278,0.009620495960778517,,,,,EXTCODEHASH,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,EXTCODEHASH,,132,14.29326247417274,0.001,0.9969873637458246,0.9969641896207925,0.008599801469458745,0.001,0.008528875389123433,0.008674619275119795,,,,,EXTCODEHASH,AccountMode.NON_EXISTING_ACCOUNT
